frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
24,6,0,car,0.7884,738,165,797,196
24,7,0,car,0.7361,280,158,327,204
24,8,0,car,0.6385,278,148,305,170
24,9,0,car,0.4295,294,66,317,85
24,10,0,car,0.3681,285,66,310,85
25,1,0,car,0.8508,65,345,185,406
25,2,0,car,0.8003,99,202,166,241
25,3,0,car,0.7963,521,216,594,253
25,4,0,car,0.7955,630,212,699,247
25,5,0,car,0.7855,941,187,1002,235
25,6,0,car,0.7838,737,166,796,196
25,7,0,car,0.7383,283,157,328,204
25,8,0,car,0.6212,280,148,307,169
25,9,0,car,0.5252,293,65,318,84
26,1,0,car,0.8518,71,343,189,403
26,2,0,car,0.7987,98,202,166,241
26,3,0,car,0.7949,520,216,592,253
26,4,0,car,0.792,631,213,696,247
26,5,0,car,0.7853,736,166,795,196
26,6,0,car,0.7853,951,186,1002,235
26,7,0,car,0.7388,284,155,330,203
26,8,0,car,0.5561,278,147,307,168
26,9,0,car,0.5377,295,65,319,83
26,10,0,car,0.5115,287,146,317,167
27,1,0,car,0.8512,76,340,193,400
27,2,0,car,0.8016,97,203,165,241
27,3,0,car,0.7947,517,216,590,253
27,4,0,car,0.7879,734,166,793,196
27,5,0,car,0.7869,630,212,693,247
27,6,0,car,0.7356,286,154,332,202
27,7,0,car,0.6542,958,185,1002,232
27,8,0,car,0.5795,281,146,311,168
27,9,0,car,0.5316,294,64,318,82
27,10,0,car,0.4766,289,146,318,169
27,11,0,car,0.2964,302,64,327,83
28,1,0,car,0.8482,83,335,201,394
28,2,0,car,0.8004,92,201,165,240
28,3,0,car,0.7944,514,215,585,254
28,4,0,car,0.7892,730,166,789,196
28,5,0,car,0.7808,623,212,691,248
28,6,0,car,0.7348,288,153,335,200
28,7,0,car,0.6348,287,145,315,167
28,8,0,car,0.5507,973,181,1002,231
28,9,0,car,0.4665,298,61,321,80
29,1,0,car,0.8492,87,332,205,391
29,2,0,car,0.8022,615,213,685,247
29,3,0,car,0.7999,91,201,164,240
29,4,0,car,0.792,512,215,581,254
29,5,0,car,0.7887,728,166,788,196
29,6,0,car,0.7341,289,153,335,199
29,7,0,car,0.6276,287,144,314,165
29,8,0,car,0.5649,298,60,322,80
29,9,0,car,0.4468,979,179,1001,230
30,1,0,car,0.8533,91,331,208,388
30,2,0,car,0.8055,89,201,161,240
30,3,0,car,0.8033,611,212,681,247
30,4,0,car,0.7928,508,215,576,254
30,5,0,car,0.789,725,166,786,196
30,6,0,car,0.7334,290,152,335,198
30,7,0,car,0.6571,0,441,15,505
30,8,0,car,0.6152,288,143,314,164
30,9,0,car,0.5358,299,59,322,78
30,10,0,car,0.2742,987,182,1002,233
31,1,0,car,0.8532,91,331,208,388
31,2,0,car,0.8054,89,201,161,240
31,3,0,car,0.8033,611,212,680,247
31,4,0,car,0.7928,508,215,576,254
31,5,0,car,0.789,725,166,786,196
31,6,0,car,0.7331,290,152,335,198
31,7,0,car,0.6534,0,441,15,506
31,8,0,car,0.6173,288,143,314,164
31,9,0,car,0.5363,299,59,322,78
31,10,0,car,0.2865,987,180,1002,232
32,1,0,car,0.8495,96,328,211,385
32,2,0,car,0.8088,87,200,159,240
32,3,0,car,0.803,607,212,680,247
32,4,0,car,0.7922,506,215,575,253
32,5,0,car,0.7911,721,166,784,196
32,6,0,car,0.735,291,151,339,197
32,7,0,car,0.7053,0,435,29,503
32,8,0,car,0.6034,289,142,316,163
32,9,0,car,0.5421,301,59,324,78
32,10,0,car,0.3703,299,142,325,163
32,11,0,car,0.2619,292,59,315,77
33,1,0,car,0.85,101,322,216,380
33,2,0,car,0.8097,82,200,155,240
33,3,0,car,0.8002,495,215,568,251
33,4,0,car,0.7998,600,211,672,247
33,5,0,car,0.7849,716,166,780,195
33,6,0,car,0.7357,292,149,339,195
33,7,0,car,0.6438,0,424,56,496
33,8,0,car,0.6111,292,141,317,160
33,9,0,car,0.5602,302,58,324,76
33,10,0,car,0.3059,302,140,329,160
33,11,0,car,0.2956,294,58,316,75
34,1,0,car,0.8452,106,321,220,378
34,2,0,car,0.8097,80,200,153,240
34,3,0,car,0.7993,595,211,671,247
34,4,0,car,0.7993,492,214,566,251
34,5,0,car,0.7875,714,165,777,195
34,6,0,car,0.7341,293,147,341,194
34,7,0,car,0.7,0,420,68,494
34,8,0,car,0.5887,292,140,318,160
34,9,0,car,0.5452,303,56,326,75
34,10,0,car,0.4197,300,139,327,159
34,11,0,car,0.3536,310,56,332,75
35,1,0,car,0.8418,112,315,227,372
35,2,0,car,0.8161,76,200,149,239
35,3,0,car,0.8091,0,411,90,486
35,4,0,car,0.7983,591,210,661,247
35,5,0,car,0.798,485,213,559,250
35,6,0,car,0.7909,711,165,772,194
35,7,0,car,0.732,294,145,341,192
35,8,0,car,0.6133,293,137,321,158
35,9,0,car,0.56,305,55,327,73
36,1,0,car,0.8427,112,315,227,372
36,2,0,car,0.8204,0,412,90,486
36,3,0,car,0.8173,76,200,149,239
36,4,0,car,0.7985,590,210,661,247
36,5,0,car,0.7981,485,213,559,249
36,6,0,car,0.7919,711,165,772,195
36,7,0,car,0.7333,294,145,340,192
36,8,0,car,0.6112,293,138,320,157
36,9,0,car,0.5518,305,55,327,73
